"Nazovite stolicy Armenii?Yerevan,Moscow,Paris,Riga"
"Samaya bolshaya strana v mire?Russia,USA,Canada,China"
"Samaya vysokaya gora na zemle?Everest,Elbrus,Ararat,Kazbek"
"Samyi bolshoi okean?Pacific,Atlantic,Indian,Arctic"
"Kakoe bylo imya y Ensteina?Albert,Robert,William,Vasiliy"
"Samoe bolshoe mlekopitaushee na zemle?Kit,Slon,Lev,Giraf"
"Kto avtor romana Voina i mir?L.N.Tolstoy,F.M.Dostoevskii,F.S.Fitzgerald,N.V.Gogol"
"Nazovite samoe vysokogornoe ozero v mire?Ohos-del-Saldo,Titicaca,Baykal,Sevan"
"Kakaya po schety planeta ot solntsa zemlya?Tretyaya,Pervaya,Shestaya,Vosmaya"
"Skolko spytnikov y Zemli?Odin,Vosem,Tri,Desyat"
"Kakova himicheskaya formyla vody?H2O,CO2,C2H5OH,O2"
"Kto pervyi v istorii vnedril konveernyu sborky?G.Ford,S.Jobs,Nikolay2,A.Lincoln"
"Nazovite samoe bystroe syhopytnoe givotnoe?Gepard,Tiger,Chelovek,Nosorog"
"Kto avtor romana Otvergennye?V.Gugo,W.Shekspir,M.Sholokhov,F.Kavka"
